Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Ravitex;00:1E:42:13:43:87;;13;No;WPA2,AES-CCM;No;54.0;0;22;0;0;0;0;0;;;Wed Nov 21 06:37:42 2018;Wed Nov 21 06:38:07 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;TP-LINK_4E0DE3;C0:4A:00:4E:0D:E3;;6;No;OPN,None;No;135.0;0;31;0;202;0;0;202;;;Wed Nov 21 06:07:00 2018;Wed Nov 21 06:38:06 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.254.254.121;
3;infrastructure;Clicknet-A523;78:6A:89:09:A5:2C;;1;No;WPA2,AES-CCM;No;130.0;0;30;0;0;0;0;0;;;Wed Nov 21 06:06:52 2018;Wed Nov 21 06:38:02 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;E4ERNST;10:FE:ED:E6:AD:A2;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;11;0;0;0;0;0;;;Wed Nov 21 06:07:33 2018;Wed Nov 21 06:38:06 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Cristi2.4;98:DE:D0:9F:06:96;;4;No;WPA2,AES-CCM;No;270.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:07:31 2018;Wed Nov 21 06:37:52 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Justus;44:F0:34:6A:FF:B8;;5;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:07:28 2018;Wed Nov 21 06:37:53 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;NOSI;F0:5C:19:0D:B1:43;;10;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:37:35 2018;Wed Nov 21 06:37:40 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Spalatorie Auto NON-STOP;80:13:82:2F:8C:7F;;1;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:07:41 2018;Wed Nov 21 06:37:41 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Vodafone Office Connect 9246;1C:1D:67:07:92:46;;1;No;WPA,TKIP;No;54.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:07:45 2018;Wed Nov 21 06:37:41 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Arizona;80:8C:97:2F:09:F3;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:07:48 2018;Wed Nov 21 06:37:40 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;DIGI-24-745EB0;80:8C:97:74:5E:B0;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:07:53 2018;Wed Nov 21 06:37:41 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Vodafone B681 - CCFB;88:E3:AB:A4:CC:FD;;11;No;WPA2,AES-CCM,TKIP;No;135.0;0;14;0;0;0;0;0;;;Wed Nov 21 06:07:59 2018;Wed Nov 21 06:37:28 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;dlinkCom;00:22:B0:A2:0F:38;;6;No;WPA2,AES-CCM;No;54.0;0;7;0;1;0;0;1;;;Wed Nov 21 06:08:00 2018;Wed Nov 21 06:37:28 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Orange Wi-Fi;04:F0:21:18:F1:20;;6;No;OPN,None;No;130.0;0;11;0;0;0;0;0;;;Wed Nov 21 06:07:53 2018;Wed Nov 21 06:37:28 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;AP1;00:18:25:06:D8:6A;;6;No;OPN,None;No;130.0;0;49;0;0;0;0;0;;;Wed Nov 21 06:08:21 2018;Wed Nov 21 06:37:15 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;ZFOFFICE;F0:9C:E9:91:9F:95;;6;No;WPA2,AES-CCM;No;195.0;0;21;0;0;0;0;0;;;Wed Nov 21 06:08:13 2018;Wed Nov 21 06:37:15 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;ZFTRW;F0:9C:E9:91:9F:96;;6;No;WPA2,AES-CCM;No;195.0;0;42;0;7;0;0;7;;;Wed Nov 21 06:08:13 2018;Wed Nov 21 06:37:15 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;trwwhse;F0:9C:E9:91:9F:97;;6;No;WPA2,AES-CCM;No;54.0;0;113;0;0;0;0;0;;;Wed Nov 21 06:08:13 2018;Wed Nov 21 06:37:15 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
