Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;acu se numeste asa;64:66:B3:9C:69:88;;6;No;OPN,None;No;135.0;0;2;0;0;0;0;0;;;Wed Nov 21 05:25:49 2018;Wed Nov 21 05:25:53 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;UPC1C36D3B;AC:22:05:E8:CC:D1;;6;No;WPA2,AES-CCM,TKIP;No;270.0;0;3;0;0;0;0;0;;;Wed Nov 21 05:25:53 2018;Wed Nov 21 05:25:57 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;UPC Wi-Free;AE:22:15:E8:CC:D1;;6;No;WPA2,AES-CCM,TKIP;No;270.0;0;2;0;0;0;0;0;;;Wed Nov 21 05:25:49 2018;Wed Nov 21 05:25:57 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Netis 11;04:8D:38:7D:21:98;;9;No;WPA2,AES-CCM,TKIP;No;270.0;0;3;0;1;0;0;1;;;Wed Nov 21 05:25:47 2018;Wed Nov 21 05:25:56 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Cristi;A4:2B:B0:E7:56:C6;;13;No;WPA2,AES-CCM;No;130.0;0;7;0;1;0;0;1;;;Wed Nov 21 05:25:46 2018;Wed Nov 21 05:25:58 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Nu exista semnal!;F8:D1:11:8D:F3:DA;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;12;0;0;0;0;0;;;Wed Nov 21 05:25:45 2018;Wed Nov 21 05:25:58 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ASUS 2.4;10:7B:44:AC:93:40;;13;No;WPA2,AES-CCM;No;260.0;0;17;0;1;0;0;1;;;Wed Nov 21 05:25:46 2018;Wed Nov 21 05:25:58 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;netis;04:8D:38:0B:CE:64;;2;No;WPA2,AES-CCM,TKIP;No;135.0;0;20;0;0;0;0;0;;;Wed Nov 21 05:25:45 2018;Wed Nov 21 05:25:56 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;trendnet;D8:EB:97:15:BC:A9;;12;No;WPA2,AES-CCM;No;130.0;0;18;0;1;0;0;1;;;Wed Nov 21 05:25:46 2018;Wed Nov 21 05:25:58 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Netis 12;04:8D:38:7E:C4:40;;9;No;WPA2,AES-CCM,TKIP;No;270.0;0;27;0;16;0;0;16;;;Wed Nov 21 05:25:46 2018;Wed Nov 21 05:25:58 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;DIRECT-25C48x Series;86:25:19:2F:70:87;;6;No;WPA2,AES-CCM;No;65.0;0;6;0;0;0;0;0;;;Wed Nov 21 05:25:49 2018;Wed Nov 21 05:25:57 2018;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Telekom-013775;84:47:65:60:61:58;;5;No;WPA2,AES-CCM;No;130.0;0;59;0;1;0;0;1;;;Wed Nov 21 05:25:45 2018;Wed Nov 21 05:25:58 2018;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
